# Child care and free preschool (Kyle, 2026-09-23: "child care is one for sure"). New slug kids.prek: FREE Head Start,
# Early Head Start and GSRP pre-K; kids.care stays for child care itself. Pages read 2026-09-23 with the pipeline's own
# user agent. Every fact comes from the owner's page on the line. Directories (search results, findhelp, MHSA) only found
# candidates. No staff names.
# Notes for the steward:
# - Starfish: the locations page gives each center's phone; 'free (must be income eligible) ... ages 6 weeks to 4 years' is
#   on https://www.starfishfamilyservices.org/programs/early-childhood-education/. Central and Fort Street are left out
#   ('MOVING TO BEATRICE ECE CENTER FALL 2026'); Beatrice is left out until it says it is open.
# - Matrix: one enrollment line (313) 285-1905 for every center, as the owner prints it; eligibility and meals are on
#   https://matrixheadstart.org/faq/. The classroom hours (8am-3pm full day) are left out: they are class times, not when
#   a family can call or walk in.
# - MiSide (formerly Development Centers): develctrs.org still prints (313) 977-9550 and (313) 246-6060 for the same two
#   centers; miside.org (c) 2026 prints (313) 504-4076 and (313) 591-4179. We use MiSide's. One call confirms.
# - New St. Paul Head Start (nspheadstart.org) answers 403 to scripts: held for a person with a browser.
# - Hamtramck and DPSCD pre-K are online sign-ups with no single door: link-outs, not listings.
Head Start and preschool at Starfish Cecil | Starfish Family Services | kids.prek | Free child care and preschool for babies to age 4 if your family's income qualifies. Help for pregnant moms too. | 5716 Cecil Ave. | Detroit | 48210 | (313) 359-8315 | https://www.starfishfamilyservices.org | not stated | Families whose income qualifies. Babies from 6 weeks to 4 years. | https://www.starfishfamilyservices.org/about/locations/ | phone_label=This center; phone2=(888) 355-5433; phone2_label=Starfish main line; flags=pregnant
Head Start at Infinity 1 | Matrix Human Services | kids.prek | Free Head Start preschool for kids 3 to 5, and Early Head Start for babies and pregnant moms, if your income qualifies. Meals included. | 9208 Gratiot | Detroit | 48213 | (313) 285-1905 | https://matrixheadstart.org | not stated | Families whose income qualifies. Pregnant moms and children up to 5. | https://matrixheadstart.org/center-locations/ | phone_label=Matrix Head Start enrollment line; flags=pregnant
Head Start at Infinity 2 | Matrix Human Services | kids.prek | Free Head Start preschool for kids 3 to 5, and Early Head Start for babies and pregnant moms, if your income qualifies. Meals included. | 8900 Gratiot | Detroit | 48213 | (313) 285-1905 | https://matrixheadstart.org | not stated | Families whose income qualifies. Pregnant moms and children up to 5. | https://matrixheadstart.org/center-locations/ | phone_label=Matrix Head Start enrollment line; flags=pregnant
Head Start at JBN / Samaritan | Matrix Human Services | kids.prek | Free Head Start preschool for kids 3 to 5, and Early Head Start for babies and pregnant moms, if your income qualifies. Meals included. | 5555 Conner | Detroit | 48213 | (313) 285-1905 | https://matrixheadstart.org | not stated | Families whose income qualifies. Pregnant moms and children up to 5. | https://matrixheadstart.org/center-locations/ | phone_label=Matrix Head Start enrollment line; flags=pregnant
Head Start at Lakewood Manor | Matrix Human Services | kids.prek | Free Head Start preschool for kids 3 to 5, and Early Head Start for babies and pregnant moms, if your income qualifies. Meals included. | 14200 Kercheval | Detroit | 48215 | (313) 285-1905 | https://matrixheadstart.org | not stated | Families whose income qualifies. Pregnant moms and children up to 5. | https://matrixheadstart.org/center-locations/ | phone_label=Matrix Head Start enrollment line; flags=pregnant
Head Start at Manuel Reyes | Matrix Human Services | kids.prek | Free Head Start preschool for kids 3 to 5, and Early Head Start for babies and pregnant moms, if your income qualifies. Meals included. | 8500 W. Vernor | Detroit | 48209 | (313) 285-1905 | https://matrixheadstart.org | not stated | Families whose income qualifies. Pregnant moms and children up to 5. | https://matrixheadstart.org/center-locations/ | phone_label=Matrix Head Start enrollment line; flags=pregnant
Head Start at Pathways | Matrix Human Services | kids.prek | Free Head Start preschool for kids 3 to 5, and Early Head Start for babies and pregnant moms, if your income qualifies. Meals included. | 11322 E. Jefferson | Detroit | 48214 | (313) 285-1905 | https://matrixheadstart.org | not stated | Families whose income qualifies. Pregnant moms and children up to 5. | https://matrixheadstart.org/center-locations/ | phone_label=Matrix Head Start enrollment line; flags=pregnant
Head Start at Plymouth Center | Matrix Human Services | kids.prek | Free Head Start preschool for kids 3 to 5, and Early Head Start for babies and pregnant moms, if your income qualifies. Meals included. | 4600 Russell | Detroit | 48207 | (313) 285-1905 | https://matrixheadstart.org | not stated | Families whose income qualifies. Pregnant moms and children up to 5. | https://matrixheadstart.org/center-locations/ | phone_label=Matrix Head Start enrollment line; flags=pregnant
Head Start at Salem | Matrix Human Services | kids.prek | Free Head Start preschool for kids 3 to 5, and Early Head Start for babies and pregnant moms, if your income qualifies. Meals included. | 21230 Moross | Detroit | 48236 | (313) 285-1905 | https://matrixheadstart.org | not stated | Families whose income qualifies. Pregnant moms and children up to 5. | https://matrixheadstart.org/center-locations/ | phone_label=Matrix Head Start enrollment line; flags=pregnant
Head Start at St. Stephen | Matrix Human Services | kids.prek | Free Head Start preschool for kids 3 to 5, and Early Head Start for babies and pregnant moms, if your income qualifies. Meals included. | 1235 Lawndale | Detroit | 48209 | (313) 285-1905 | https://matrixheadstart.org | not stated | Families whose income qualifies. Pregnant moms and children up to 5. | https://matrixheadstart.org/center-locations/ | phone_label=Matrix Head Start enrollment line; flags=pregnant
Head Start at The Word of Truth | Matrix Human Services | kids.prek | Free Head Start preschool for kids 3 to 5, and Early Head Start for babies and pregnant moms, if your income qualifies. Meals included. | 4900 Lovett | Detroit | 48210 | (313) 285-1905 | https://matrixheadstart.org | not stated | Families whose income qualifies. Pregnant moms and children up to 5. | https://matrixheadstart.org/center-locations/ | phone_label=Matrix Head Start enrollment line; flags=pregnant
Head Start at Tabernacle | Matrix Human Services | kids.prek | Free Head Start preschool for kids 3 to 5, and Early Head Start for babies and pregnant moms, if your income qualifies. Meals included. | 2080 W. Grand Blvd. | Detroit | 48208 | (313) 285-1905 | https://matrixheadstart.org | not stated | Families whose income qualifies. Pregnant moms and children up to 5. | https://matrixheadstart.org/center-locations/ | phone_label=Matrix Head Start enrollment line; flags=pregnant
Early Head Start and help for pregnant moms, McKenny | MiSide | kids.prek | Free Early Head Start for babies and toddlers, home visits, and help for pregnant moms, if your income qualifies. | 19750 Burt Road | Detroit | 48219 | (313) 504-4076 | https://miside.org | not stated | Families whose income qualifies. Pregnant moms and children up to 5. | https://miside.org/miearlyyears/head-start-and-early-head-start | phone_label=Enrollment; flags=pregnant
Head Start and free pre-K, MiSide Early Childhood Center | MiSide | kids.prek | Free Early Head Start, Head Start and pre-K (GSRP) for babies to age 5, if your income qualifies. | 19176 Northrop | Detroit | 48219 | (313) 591-4179 | https://miside.org | not stated | Families whose income qualifies. Children up to 5. | https://miside.org/miearlyyears/head-start-and-early-head-start | phone_label=Enrollment
Free preschool for 4-year-olds, Cotter Early Childhood Center | Dearborn Public Schools | kids.prek | Free preschool (GSRP) for 4-year-olds in Dearborn schools. Pick up an application or call to make an appointment. | 13020 Osborn St. | Dearborn |  | 313-827-6150 | https://dearbornschools.org | not stated | Children who are 4. Families are chosen by income and other needs. | https://firstbell.dearbornschools.org/2026/02/19/enrollment-forms-for-free-preschool-available-march-13/ | phone_label=Cotter School office
