# Backlog: held rows from data/seed/to-verify.csv worked on 2026-09-20 (research lane: the 288 held listings).
# Every fact below was read on the organisation's OWN page today, through honest WebFetch requests. No aggregator,
# no Facebook, no directory. No staff names, emails or direct lines were recorded, even where a page prints them
# (SER ReBuild, Goodwill clubhouse, St. Mary of Redford). No hours were guessed: where an owner's own pages still
# disagree, the line carries the text as written so the app says "call first", or the row was left held.
# Notes: docs/research/2026-09-20/backlog.md. Each line carries the to-verify row it clears.
#
# FOR THE INTEGRATOR — read before running check:sources:
# - sermetro.org refuses the pipeline's fetcher but answers an honest WebFetch. Per docs/OPERATIONS.md ("Rows whose
#   site blocks scripts: read the page in a browser, then set status=active, entry_method=web"), the four SER lines
#   below will NOT auto-promote. A steward should open each source_url once and set entry_method=web.
# - The Michigan Legal Help line has NO phone: its own page prints none. check-sources allows a phone-less row when
#   the house number is on the page ("2 Woodward Ave" is). If a steward would rather not publish a door with no
#   number, drop that line.
# - ZIP is left BLANK on two SER lines because SER's own pages print conflicting ZIPs for the same street (5555
#   Conner as 48215 and 48205; 15491 Maddelein as 48216 and 48205). Geocoding should fill them; do not guess.
# - Where two of an owner's own pages print different numbers for the same door, the line uses the number printed on
#   the page named in source_url, so the entry check reads the number it is citing. The other number is noted here.
#
# --- Housing ---------------------------------------------------------------------------------------------------
# clears to-verify: "United Community Housing Coalition: eviction defense, 300 River Place Dr, Suite 1200".
# The hours were not a contradiction: the contact page prints office hours (to 5:00pm) and the home page prints the
# hours to CALL for an appointment (to 4:30pm). Since the office is closed to walk-ins, the line publishes the phone
# hours and says so in `notice`. Both hotline numbers and the address are on the contact page.
Eviction Defense Helpline | United Community Housing Coalition | housing.rent | Free help if your landlord is putting you out: your rights, and a lawyer for landlord-tenant court. Call for an appointment. The office is closed to walk-ins. | 300 River Place Dr, Suite 1200 | Detroit | 48207 | 313-725-4646 | https://www.uchcdetroit.org | Mon-Fri 8:30am-4:30pm | People with low income in Detroit. Free. | https://www.uchcdetroit.org/contact-us | phone_label=Eviction Defense Helpline; phone2=313-963-3310; phone2_label=Main office; flags=appointment_required; notice=These are the hours their home page gives for calling. Their contact page gives office hours to 5:00pm.
Help with a property tax bill you cannot pay | City of Hamtramck Assessor | money.tax | If you own and live in your home and cannot pay the property tax, you can ask the Board of Review to lower it or drop it. Apply at the March, July or December meeting. You must apply again every year. | 3401 Evaline St, 1st Floor | Hamtramck | 48212 | 313-800-5233 | https://hamtramckcity.gov | Mon 8am-4pm; Wed-Fri 8am-4pm; Tue 10am-6pm | You must own the home and live in it. It is judged on the income of everyone living there. | https://hamtramckcity.gov/departments/assessor/ | phone_label=Assessor's office, ask for extension 820
# clears to-verify: "Highland Park poverty exemption, City Assessor, 12050 Woodward Ave". The poverty-exemption
# page prints 12050 with the phone and the hours; the lone "12505" is on the Board of Review page only.
Help with a Highland Park property tax bill you cannot pay | City of Highland Park Assessor | money.tax | If you own and live in your home and cannot pay the property tax, you can ask the Board of Review to lower it or drop it. They meet in March, July and December. You do not have to come; they mail you the answer within two weeks. | 12050 Woodward Ave | Highland Park | 48203 | 313-252-0050 | https://highlandparkmi.gov | Mon-Fri 8:30am-5pm | Homeowners who live in the home. | https://highlandparkmi.gov/government/assessor/tax-assessing/poverty-exemption-application/ | phone_label=City Hall main line
#
# --- ID, paperwork and courts ----------------------------------------------------------------------------------
# clears to-verify: "Michigan Legal Help, 3rd Circuit Court Self-Help Center, 2 Woodward Ave, 19th Floor".
# The two hour statements are now one: Mon-Fri 9am-3pm, last sign-in 1:30pm. NO PHONE is printed on the page.
Court self-help center | Michigan Legal Help | legal | Free help using court forms and finding legal information, on the 19th floor of the court. Staff can explain things but cannot give legal advice. | 2 Woodward Ave, 19th Floor, Room 1911 | Detroit | 48226 |  | https://michiganlegalhelp.org | Mon-Fri 9am-3pm | Free. The last person must sign in by 1:30pm. Closed on court holidays. | https://michiganlegalhelp.org/self-help-centers/3rd-circuit-court-self-help-center | flags=walk_in
#
# --- Health, assault and recovery --------------------------------------------------------------------------------
# clears to-verify: "Avalon Wellness Clinic (follow-up care after assault)". The clinic page now prints the street
# address, the phone, the hours and "Free services" together.
Wellness clinic: care after an assault | Avalon Healing Center | assault | Free follow-up care after a sexual assault, however long ago it happened: injury checks, medicine, STI and HIV testing, and nPEP. | 601 Bagley St | Detroit | 48226 | 313-920-0470 | https://avalonhealing.org | Mon-Thu 8am-6pm | Free. For anyone who has been sexually assaulted, days ago or years ago. | https://avalonhealing.org/services/wellness-clinic/ | phone_label=Make an appointment; flags=appointment_required,lgbtq
# clears to-verify: "Kids-TALK Children's Advocacy Center, 40 East Ferry St". The owner page now says a family may
# contact them directly, and states the cost. Hours are not printed, so the line says "not stated".
Kids-TALK Children's Advocacy Center | The Guidance Center | youth | Help for a child who has been hurt or abused: one careful interview, an advocate, a medical check and counseling. A family can call them directly. | 40 East Ferry St | Detroit | 48202 | 313-833-2970 | https://www.guidance-center.org | not stated | The interview and the advocate are free. Medical checks and counseling are given whether or not you can pay. | https://www.guidance-center.org/kids-talk/
# clears to-verify: "Passenger Recovery Community Center, 3901 Christopher St". The services page now prints one set
# of centre hours (Wed-Sat 12-8, Sun 1-8) with the walk-in coaching window inside them, so the Wed-Sat/Wed-Sun
# conflict is gone. The page writes the city as "Detroit/Hamtramck"; 48211 is Detroit, on the Hamtramck line.
Free recovery coaching, Hamtramck centre | Passenger Recovery | treatment.outpatient | Free recovery coaching and peer support, and meetings (AA, NA, SMART Recovery, Recovery Dharma). Walk in for coaching Wednesday to Friday, 2pm to 4pm. They can translate most Hamtramck languages and help Deaf and hard-of-hearing people. | 3901 Christopher St, Suite D | Detroit | 48211 | 313-288-0062 | https://passengerrecovery.com | Wed-Sat 12pm-8pm; Sun 1pm-8pm | Free. | https://passengerrecovery.com/services/hamtramck-center | flags=walk_in
# clears to-verify: "Alternatives For Girls Crisis Resource Center, 903 W. Grand Blvd". The programme page now
# prints the address, the phone, Mon-Fri 9am-9pm and "Walk-ins are welcome" together. It does not print a cost.
Crisis Resource Center: food, clothes and a shower | Alternatives For Girls | shelter.day | Walk in for food, clothes, a shower, and help finding what you need. | 903 W. Grand Blvd | Detroit | 48208 | 313-361-4000 | https://alternativesforgirls.org | Mon-Fri 9am-9pm | Their page says it is for community members in crisis. The organisation's other programmes are for girls and young women. Call first if you are not sure. | https://alternativesforgirls.org/programs/crisis-resource-center/ | phone_label=Crisis Resource Center, ask for extension 295; flags=walk_in
# clears to-verify: "Detroit Rescue Mission, 3535 Third St (men)". DRMM's locations page now prints a number beside
# this address. It is the same 866 number the City gives shelter seekers (audit A9), and it is DRMM's own choice.
Detroit Rescue Mission, Third Street (men) | Detroit Rescue Mission Ministries | shelter.emergency | Emergency shelter for men. Call the help line before you go. | 3535 Third St | Detroit | 48201 | 866-313-2520 | https://drmm.org | not stated | Men. | https://drmm.org/about-us/locations/ | phone_label=Help line; flags=men
# part-clears to-verify: "DRMM Christian Guidance Center and Genesis House III, 19211 Anglin". The locations page now
# separates the two: Genesis House III at 19211 Anglin is for women, 313-263-0077. The Christian Guidance Center is
# listed with no address at all, so that half of the row STAYS HELD.
Genesis House III: treatment for women | Detroit Rescue Mission Ministries | treatment.residential | Live-in treatment for drug or alcohol use, for women. | 19211 Anglin St | Detroit | 48234 | 313-263-0077 | https://drmm.org | not stated | Women. | https://drmm.org/about-us/locations/ | phone_label=Addiction help line; flags=women
# clears to-verify: "Central City Health, 10 Peterboro St". The home page prints the address and the main number
# together, and states the sliding fee. DWIHN's 2026 list gives a different address; by our rules the owner's own
# page decides. The 1-800 crisis number on that page belongs to someone else and is NOT recorded here.
Central City Health, Peterboro | Central City Integrated Health | health.clinic | Doctor, dentist and mental health care. Nobody is turned away for not being able to pay; the fee goes by household size and income. | 10 Peterboro St | Detroit | 48201 | 313-831-3160 | https://www.centralcityhealth.com | not stated | Anyone. Sliding fee by income. | https://www.centralcityhealth.com/ | flags=sliding_fee
#
# --- Work and training ------------------------------------------------------------------------------------------
# clears to-verify: "SER Metro-Detroit Justice Impacted Services". ZIP 48210 for 9301 Michigan Ave is from SER's own
# locations page. Hours are not printed anywhere on SER's site.
Jobs and training after prison or jail | SER Metro-Detroit | jobs.training | Job training and a job coach for people who were locked up. Up to $1,000 towards work clothes, tools or getting a driver's licence back, and help getting a record expunged. | 9301 Michigan Ave | Detroit | 48210 | 313-846-2240 | https://sermetro.org | not stated | Men and women 18 and over who are on probation or parole, or who left a correctional facility in the last 24 months, and live in Detroit or Wayne County. | https://sermetro.org/program-service/justice-impacted-services/ | phone_label=Main office; flags=reentry
# clears to-verify: "SER Metro-Detroit Center for Working Families and Adult Education (9301 Michigan; FREC East)".
# Two doors, so two lines. The Maddelein ZIP still differs between SER's own pages (48205 here, 48216 on the
# locations page), so it is left BLANK. The street number 15491 is the same on both SER pages.
Free classes and job help, Michigan Ave | SER Metro-Detroit | jobs.training | Free basic computer classes (12 weeks, daytime, with a certificate at the end), English classes for work, job-readiness workshops, and a coach to help you find work. | 9301 Michigan Ave | Detroit | 48210 | 313-846-2240 | https://sermetro.org | not stated | Adults 18 and over. | https://sermetro.org/adult-education-services/ | phone_label=Main office
Job help, east side | SER Metro-Detroit | jobs.find | A coach to help you find work, and workshops on resumes and applying online. | 15491 Maddelein St | Detroit |  | 313-846-2240 | https://sermetro.org | not stated | Adults 18 and over. | https://sermetro.org/adult-education-services/ | phone_label=Main office
# clears to-verify: "SER Metro-Detroit YouthBuild and Year Round Youth". 5555 Conner is printed with three ZIPs on
# SER's own locations page (48215, 48205, 48213 elsewhere), so the ZIP is left BLANK for that door.
YouthBuild Learning Academy, east campus | SER Metro-Detroit | jobs.training | Finish school and learn building trades at the same time. | 5555 Conner St | Detroit |  | 313-945-5200 | https://sermetro.org | not stated | Ages are not stated on their page. Call and ask. | https://sermetro.org/locations/ | phone_label=YouthBuild, ask for extension 2; flags=youth
Youth Reengagement Center | SER Metro-Detroit | jobs.training | Help getting back into school or training if you left school. | 9215 Michigan Ave | Detroit | 48210 | 313-945-5200 | https://sermetro.org | not stated | Ages are not stated on their page. Call and ask. | https://sermetro.org/locations/ | phone_label=Ask for extension 2 or 4200; flags=youth
# clears to-verify: "Detroit at Work career center, W. Warren (ACCESS)". ACCESS's own contact page now prints
# 16427 W. Warren Avenue, Detroit, MI 48228 with (313) 429-2469; Detroit at Work's locations page prints the same
# street number. The 14627 on the financial-stability page is the odd one out. HOURS come from Detroit at Work's
# own locations page (the programme that runs the centre), which lists W. Warren among the late-Thursday centres.
Detroit at Work career center, West Warren | ACCESS | jobs.find | Help finding work: a coach, computers, and workshops. Help with unemployment insurance is offered here too. | 16427 W. Warren Ave | Detroit | 48228 | 313-429-2469 | https://www.accesscommunity.org | Mon-Fri 8am-5pm; Thu 5pm-7pm | Anyone looking for work. | https://www.accesscommunity.org/contact | phone_label=Detroit Career Center; flags=arabic
# clears to-verify: "Detroit at Work career center, W. McNichols (MiSide)". The late-night conflict is settled:
# Detroit at Work names six centres open late on Thursday and this is not one of them. It is still REFERRALS ONLY.
Detroit at Work career center, West McNichols | MiSide | jobs.find | Help finding work. Detroit at Work marks this centre referrals only: you need a referral before they can see you. | 24424 W. McNichols Rd | Detroit | 48219 | 313-246-6020 | https://miside.org | not stated | Referral only. | https://miside.org/contact-us | phone_label=Career center; flags=referral_only
# clears to-verify: "MiSide Wealth Center for Working Families, 2835 Bagley" (and the address half of "MiSide
# Earn + Learn, 2835 Bagley Suite 800"). MiSide's own contact page still lists MiSide Wealth at 2835 Bagley Suite
# 800 with its own phone, so MiSide is still there whatever Detroit at Work moved out in 2025.
MiSide Wealth: money and job help | MiSide | jobs.find | Help finding work, getting into training, and sorting out money. | 2835 Bagley, Suite 800 | Detroit | 48216 | 313-841-9641 | https://miside.org | not stated | | https://miside.org/contact-us | phone_label=MiSide Wealth; flags=spanish
# clears to-verify: "Goodwill Career Academy, 3111 Grand River". Their locations page prints 313.557.8635 beside
# this address; the programme page prints (313) 557-8612. The line uses the number on the page it cites.
Goodwill Career Academy | Goodwill Industries of Greater Detroit | jobs.training | Job training and help finding work. | 3111 Grand River Ave | Detroit | 48208 | 313-557-8635 | https://www.goodwilldetroit.org | not stated | | https://www.goodwilldetroit.org/connect/find-a-location/ | phone_label=Career Academy
# clears to-verify: "Goodwill A Place of Our Own Clubhouse, 1401 Ash St". Their locations page prints 313.931.0901
# beside this address; the programme page prints (313) 557-8623. The line uses the number on the page it cites.
# What the clubhouse offers and who can join come from Goodwill's own programme page.
A Place of Our Own Clubhouse | Goodwill Industries of Greater Detroit | health.mental | A clubhouse for adults living with serious mental illness: company, paid work, classes, and things to do together. | 1401 Ash St | Detroit | 48208 | 313-931-0901 | https://www.goodwilldetroit.org | not stated | Adults 18 and over with a documented serious mental illness who live in Detroit or Wayne County. | https://www.goodwilldetroit.org/connect/find-a-location/ | phone_label=Clubhouse; flags=disability
#
# --- Food ---------------------------------------------------------------------------------------------------------
# clears to-verify: "St. Patrick Senior Center daily lunch, 58 Parsons St" and the food half of "St. Patrick Senior
# Center (58 Parsons St, Jeffries 0.71 mi)". The contact page carries the address and the phone; the meal facts are
# from St. Pat's own meals page. Their pages still say five days a week in one place and six in another, and never
# say the meal is free, so the schedule is entered as written and will show as "call first". NOT a guess at hours.
Lunch at St. Patrick Senior Center | St. Patrick Senior Center | food.meal | A hot lunch in the dining room. Their pages say members and friends can come from 11:30am to 1pm; one page says five days a week and another says six. Call to ask about the days, joining, and what it costs. | 58 Parsons St | Detroit | 48201 | 313-833-7080 | https://stpatsrctr.org | Lunch 11:30am-1pm; their pages say five days a week in one place and six in another; call first | For people 55 and over who join the centre. The page does not say the meal is free. | https://stpatsrctr.org/contact-us/ | phone_label=Main line; flags=seniors
