# Free food in City Council Districts 5 and 6, plus far-from-food pockets in Districts 1 and 3.
# Each was read on the organization's own site on 2026-09-19 (WebFetch, or plain requests that say who we are).
# Web search was used only to find the sites; no fact comes from a search snippet, a directory, or another group's page.
# Notes:
# - Most Holy Trinity: the page says the pantry "generally" runs Thursdays 11 a.m. to 1 p.m.; entered as written.
# - All Saints (Catholic Charities of Southeast Michigan): the program page (source_url) says it moved to 6945 Wagner
#   and lists pantry days Mon, Thu and Fri; CCSEM's "basic needs" page lists only Mon and Thu. The older All Saints
#   blog (asskdetroit.wordpress.com, 7824 W. Fort St) is out of date and was not used. The pantry is by appointment,
#   so it arrives call-first with the days as written.
# - Mercy Food Pantry: the Center for the Works of Mercy page gives the center's hours (Mon-Fri 9-3) and says the pantry
#   is by appointment; call-first. (CCSEM's basic-needs page mentions Thursday drop-in hours from Nov 2025; not used.)
# - St. Stephen Pantry: Loaves and Fishes' own pantry-locations page, like the Ste. Anne row; that page gives no phone.
# - Perry Outreach Center: address, phone and "food boxes" are on perryoutreach.org; the 48217 service area is in
#   their own info sheet (perryoutreach.org/wp-content/uploads/2024/11/Perry-Info-Sheet.pdf). Loaves and Fishes'
#   page gives Perry's hours (Mon-Thu 10-2), but that is another group's page, so the row is call-first.
# - Forgotten Harvest mobile pantries: their find-food page lists each truck stop two weeks at a time, with dates.
#   It does not say how often each stop repeats, so these are call-first ("some Fridays"), except Historic Little Rock,
#   whose own outreach page (historiclittlerockbc.org/outreach) says "2nd & 4th Fridays"; a MONTHLY schedule
#   (2FR,4FR 09:00-12:00, time from Forgotten Harvest's page) was added by hand. Equity Alliance's time on the page
#   reads "2:00 AM - 4:00 AM", which is surely a typo, so no time is given.
# - St. John's Presbyterian: the hunger-ministry page says a hot meal is served every week but gives no days.
# - Cass Community Social Services: "700,000 meals a year" is on casscommunity.org/services/food-services/; the
#   address and phone are on the locations page (source_url). No meal or pantry times are on their site.
# - Detroit Area Agency on Aging meal sites: the congregate-meal page gives each site's address and phone and says
#   meals are Mon-Fri for people 60 and older and their spouses; no times. Several are senior apartment buildings.
#   The list is headed "2024 Congregate Meal Sites" and says some sites have not reopened since COVID, so each row
#   says so and is call-first. Parkview Place (1401 Chene) was left out: its phone on the page is missing a digit
#   ("(313) 567-799"). Farwell and Franklin Wright are outside this batch's area or already listed.
# - Corpus Christi (St. Vincent de Paul): WebFetch got a 403, but a plain request that names us read the page.
# - God's Storehouse: the site draws its text with scripts; it was read in the built-in browser. Held for a person
#   (docs/CHECKS-2026-09-19.md, section 5). Its phone (313-867-1234) is what the site shows.
# name | org | category | what | address | city | zip | phone | website | schedule | eligibility | source_url
Food pantry | Most Holy Trinity Parish | food.pantry | Free shelf food, like cans, pasta, peanut butter, rice, and beans. | 1050 Porter St | Detroit | 48226 | 313-965-4450 | https://mhtdetroit.org/ | Thu 11am-1pm | Please come no more than every other Thursday. | https://mhtdetroit.org/outreach/food-pantry/
Mobile food pantry at St. John Presbyterian Church | Forgotten Harvest | food.mobile | Free groceries from a Forgotten Harvest truck. It ends when the food runs out. | 1961 East Lafayette | Detroit | 48207 | 248-268-7756 | https://www.forgottenharvest.org/ | Some Fridays 9am-11am. Forgotten Harvest lists the dates two weeks at a time. Call first. | | https://www.forgottenharvest.org/find-food/
Mobile food pantry at Equity Alliance of Michigan | Forgotten Harvest | food.mobile | Free groceries from a Forgotten Harvest truck. It ends when the food runs out. | 6602 Walton | Detroit | 48210 | 248-268-7756 | https://www.forgottenharvest.org/ | Some Wednesdays. The time on their page is unclear. Call first. | | https://www.forgottenharvest.org/find-food/
Hot meal | St. John's Presbyterian Church | food.meal | A free hot meal. Their site says they serve one every week. Call to ask which days. | 1961 E Lafayette Blvd | Detroit | 48207 | 313-567-0213 | https://sjpcdetroit.org/ | not stated | | https://sjpcdetroit.org/community-garden
Free meals and food pantry | Cass Community Social Services | food.meal | Free meals and free food. Call to ask when and where to go. | 11745 Rosa Parks Blvd | Detroit | 48206 | 313-883-2277 | https://casscommunity.org/ | not stated | | https://casscommunity.org/contact-us/locations/
Senior meals at Delray United Action Council | Detroit Area Agency on Aging | food.meal | A free meal for people 60 and older, Monday to Friday. Gifts are welcome but not needed. | 275 West Grand Blvd | Detroit | 48216 | 313-861-1285 | https://www.detroitseniorsolution.org/ | Monday to Friday, no times given. Their list is from 2024 and says some sites have not reopened. Call first. | For people 60 and older and their husband or wife. | https://www.detroitseniorsolution.org/nutrition-services/congregate-meal-program/
Senior meals at LA SED | Detroit Area Agency on Aging | food.meal | A free meal for people 60 and older, Monday to Friday. They may be able to give you a ride. | 7150 W. Vernor | Detroit | 48209 | 313-841-8840 | https://www.detroitseniorsolution.org/ | Monday to Friday, no times given. Their list is from 2024 and says some sites have not reopened. Call first. | For people 60 and older and their husband or wife. | https://www.detroitseniorsolution.org/nutrition-services/congregate-meal-program/
Senior meals at Bicentennial Towers | Detroit Area Agency on Aging | food.meal | A free meal for people 60 and older, Monday to Friday, in a senior apartment building. Call to ask if you can come. | 4 E. Alexandrine | Detroit | 48201 | 313-494-0217 | https://www.detroitseniorsolution.org/ | Monday to Friday, no times given. Their list is from 2024 and says some sites have not reopened. Call first. | For people 60 and older and their husband or wife. | https://www.detroitseniorsolution.org/nutrition-services/congregate-meal-program/
Senior meals at 8330 On The River | Detroit Area Agency on Aging | food.meal | A free meal for people 60 and older, Monday to Friday, at the Belle Maison apartments. Call to ask if you can come. | 8330 E. Jefferson | Detroit | 48214 | 313-331-7780 | https://www.detroitseniorsolution.org/ | Monday to Friday, no times given. Their list is from 2024 and says some sites have not reopened. Call first. | For people 60 and older and their husband or wife. | https://www.detroitseniorsolution.org/nutrition-services/congregate-meal-program/
Emergency food | Corpus Christi Catholic Church | food.pantry | Emergency food from the church's St. Vincent de Paul group. Call to make an appointment. | 19800 Pembroke Ave | Detroit | 48219 | 313-537-5770 | https://corpuschristi-detroit.org/ | By appointment. Call first. | For people who live between Hubbell and Telegraph, and between Seven Mile and Eight and a Half Mile. | https://corpuschristi-detroit.org/food-depot
Free groceries | God's Storehouse | food.pantry | Free groceries: fresh produce, cans, and pantry food. No income papers needed. | 18301 John R | Detroit | 48203 | 313-867-1234 | https://www.gods-storehouse.org/ | Tuesdays and Saturdays. Their site gives no times. Call first. | | https://www.gods-storehouse.org/
